Market,store_id,store_name,employee_name,refund_label_type,sold_date,ntid,new_exchange_imei,description,old_imei,tracking_details,shipping_status
Los Angeles,70850316,3992 N Sierra Way Ste A,SAM,Kumar,1/1/2025 0:22,RMA241231071,MOT XT2417-1_UT,Moto G 5G Green 128Gb,356610174352373,1Z1X298A0390643783,ReceivedInWarehouse
Los Angeles,70850316,3992 N Sierra Way Ste A,SAM,Kumar,1/1/2025 0:26,RMA241231072,MOT XT2417-1_UT,Moto G 5G Green 128Gb,356610174352332,1Z1X298A0390811190,ReceivedInWarehouse
Dallas,70832464,2601 E Lancaster Ave,SAM,Kumar,1/1/2025 1:03,RMA241231074,MOT XT2419-1_UT,Moto G Stylus 5G Beige 128Gb,350512702563750,1Z1X298A0391718218,ReceivedInWarehouse
Memphis,70832509,3633 Hickory Hill Rd,Master,Dealer,1/1/2025 1:17,RMA241231075,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550071558266,1Z1X298A0391849827,ReceivedInWarehouse
Nashville Knoxville,70851753,932 Richards Rd,Master,Dealer,1/1/2025 1:58,RMA241231076,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550075807529,1Z1X298A0395622082,ReceivedInWarehouse
Memphis,70832503,1411 Goodman Rd W Ste 12,Account,Default,1/1/2025 15:10,RMA250101002,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",355030766842106,1Z1X298A0395507699,ReceivedInWarehouse
Memphis,70832503,1411 Goodman Rd W Ste 12,Account,Default,1/1/2025 15:10,RMA250101002,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",352096695174643,1Z1X298A0395507699,ReceivedInWarehouse
Memphis,70832503,1411 Goodman Rd W Ste 12,Account,Default,1/1/2025 15:10,RMA250101002,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",354543514351385,1Z1X298A0395507699,Submitted
Memphis,70832503,1411 Goodman Rd W Ste 12,Account,Default,1/1/2025 15:10,RMA250101002,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",356985632145698,1Z1X298A0395507699,Submitted
Memphis,70832502,4082 Elvis Presley Blvd,4082 ELVIS PRESLEY,Default,1/1/2025 15:41,RMA25010100G,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",357815985077478,1Z1X298A0396540132,ReceivedInWarehouse
Memphis,70832502,4082 Elvis Presley Blvd,4082 ELVIS PRESLEY,Default,1/1/2025 15:41,RMA25010100G,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",862503074953365,1Z1X298A0396540132,ReceivedInWarehouse
Memphis,70832502,4082 Elvis Presley Blvd,4082 ELVIS PRESLEY,Default,1/1/2025 15:41,RMA25010100G,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",367885985077473,1Z1X298A0396540132,Submitted
Memphis,70832529,215 E Shelby Dr,Account,Default,1/1/2025 15:52,RMA25010100J,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",866966052845794,1Z1X298A0397670740,ReceivedInWarehouse
Memphis,70832529,215 E Shelby Dr,Account,Default,1/1/2025 15:52,RMA25010100J,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",359282401053385,1Z1X298A0397670740,ReceivedInWarehouse
San Francisco,70851231,"2200 Eastridge Loop, suite 2041",SAM,Kumar,1/1/2025 18:30,RMA250101019,AP A2726-AWWS_UT,Apple Watch SE2 Alum/White White Sportband Small 40mm,358621339645211,1Z1X298A0396644280,ReceivedInWarehouse
Houston,70832604,7404 Airline Dr Ste D,Account,Default,1/1/2025 19:31,RMA25010101G,AP A2172-BLK64,metroPCS iPhone 12 Black 64Gb,356540880432666,1Z1X298A0394199300,ReceivedInWarehouse
Houston,70832604,7404 Airline Dr Ste D,Account,Default,1/1/2025 19:35,RMA25010101L,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550076169366,1Z1X298A0392912541,ReceivedInWarehouse
Phoenix,70848853,1326 E Florence Blvd,SAM,Kumar,1/1/2025 19:47,RMA25010101S,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550072269525,1Z1X298A0391764409,ReceivedInWarehouse
Los Angeles,70850321,2094 W Redlands Blvd Suite K,SAM,Kumar,1/1/2025 19:57,RMA25010101U,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550072535883,1Z1X298A0391062220,ReceivedInWarehouse
Dallas,70832693,4059 Hemphill Street,SAM,Kumar,1/1/2025 19:58,RMA25010101V,ALC 9137W_UT,Alcatel Tablet 8 LE Gray 32Gb,16533009662083,1Z1X298A0394563237,ReceivedInWarehouse
Houston,70832630,4122 Telephone Rd Ste C,Master,Dealer,1/1/2025 20:18,RMA250101022,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",862503077926061,1Z1X298A0398572943,ReceivedInWarehouse
Houston,70832630,4122 Telephone Rd Ste C,Master,Dealer,1/1/2025 20:21,RMA250101023,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",863550071523666,1Z1X298A0399232559,ReceivedInWarehouse
Houston,70832621,1207 Wayside Dr,Master,Dealer,1/1/2025 20:27,RMA250101025,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",862503078665544,1Z1X298A0390469507,ReceivedInWarehouse
Memphis,70832678,450 Stateline Rd Unit D,Master,Dealer,1/1/2025 20:32,RMA250101026,AP A2172-BLK64,metroPCS iPhone 12 Black 64Gb,358551722655834,1Z1X298A0391813712,ReceivedInWarehouse
Houston,70832572,5627 Aldine Bender Rd Ste 8,Master,Dealer,1/1/2025 20:44,RMA25010102B,SAG FAST5688W,Sagemcom 5G Gateway Black,359509846337852,1Z1X298A0399505380,ReceivedInWarehouse
Dallas,70832464,2601 E Lancaster Ave,SAM,Kumar,1/1/2025 20:45,RMA25010102D,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,862503072721467,1Z1X298A0399360992,ReceivedInWarehouse
Houston,70832599,320 W Rankin Rd,Master,Dealer,1/1/2025 20:46,RMA25010102E,AP A2172-BLK64,metroPCS iPhone 12 Black 64Gb,353335932281044,1Z1X298A0394215765,ReceivedInWarehouse
Dallas,70832464,2601 E Lancaster Ave,SAM,Kumar,1/1/2025 20:51,RMA25010102H,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,862503077887909,1Z1X298A0395621823,ReceivedInWarehouse
Houston,70832573,3103 FM 1960 Rd W Ste R,Master,Dealer,1/1/2025 20:53,RMA25010102K,AP A2172-BLK64,metroPCS iPhone 12 Black 64Gb,353335933469275,1Z1X298A0396374045,ReceivedInWarehouse
Houston,70832638,3219 Hillcroft Street,Master,Dealer,1/1/2025 21:10,RMA25010102U,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",354239342747074,1Z1X298A0397112094,ReceivedInWarehouse
Memphis,70832679,"1948 S 3RD ST,STE 102",Master,Dealer,1/1/2025 21:22,RMA25010102X,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",353868596133671,1Z1X298A0399050317,Submitted
Memphis,70832679,"1948 S 3RD ST,STE 102",Master,Dealer,1/1/2025 21:22,RMA25010102X,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",352096692096466,1Z1X298A0399050317,Submitted
Memphis,70832679,"1948 S 3RD ST,STE 102",Master,Dealer,1/1/2025 21:22,RMA25010102X,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",16441000457943,1Z1X298A0399050317,Submitted
Memphis,70832679,"1948 S 3RD ST,STE 102",Master,Dealer,1/1/2025 21:22,RMA25010102X,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",359687219416840,1Z1X298A0399050317,ReceivedInWarehouse
Memphis,70832679,"1948 S 3RD ST,STE 102",Master,Dealer,1/1/2025 21:22,RMA25010102X,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",353868590708262,1Z1X298A0399050317,Submitted
Memphis,70832679,"1948 S 3RD ST,STE 102",Master,Dealer,1/1/2025 21:22,RMA25010102X,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",353868594053483,1Z1X298A0399050317,Submitted
Memphis,70832679,"1948 S 3RD ST,STE 102",Master,Dealer,1/1/2025 21:28,RMA250101030,ANS HPPL62A_UT,ANS Tabasco Black 8Gb,358371951952665,1Z1X298A0391708425,ReceivedInWarehouse
Los Angeles,70851435,10721 Atlantic Ave,SAM,Kumar,1/1/2025 21:39,RMA250101032,SAM A156U-BLU128_UT,Samsung Galaxy A15 5G Blue 128Gb,356408519586056,1Z1X298A0391835841,ReceivedInWarehouse
Memphis,70832679,"1948 S 3RD ST,STE 102",Master,Dealer,1/1/2025 21:39,RMA250101033,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,862503070580022,1Z1X298A0399075149,ReceivedInWarehouse
Los Angeles,70851422,1130 S Bristol St,SAM,Kumar,1/1/2025 21:48,RMA250101036,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",35386859425744,1Z1X298A0395003367,Submitted
Los Angeles,70851767,2400 Saviers Rd Ste 104,SAM,Kumar,1/1/2025 21:55,RMA250101039,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,862503073179103,1Z1X298A0390243483,Submitted
Los Angeles,70851433,9070 Van Nuys,SAM,Kumar,1/1/2025 22:28,RMA25010103E,MOT XT2271-5_UT,Motorola G-Play Blue 32Gb,353868594917935,1Z1X298A0399927586,ReceivedInWarehouse
Los Angeles,70851433,9070 Van Nuys,SAM,Kumar,1/1/2025 22:33,RMA25010103F,MOT XT2417-1_UT,Moto G 5G Green 128Gb,356645501649950,1Z1X298A0392041527,ReceivedInWarehouse
Los Angeles,70851428,2547 W McFadden Ave Ste B,SAM,Kumar,1/1/2025 22:45,RMA25010103G,MOT XT2417-1_UT,Moto G 5G Green 128Gb,356610174248936,1Z1X298A0399763191,ReceivedInWarehouse
Memphis,70832686,2990 Lamar Ave,Master,Dealer,1/1/2025 22:48,RMA25010103H,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",353335931467248,1Z1X298A0391084537,Submitted
Memphis,70832513,2246 Lamar Ave,Account,Default,1/1/2025 23:49,RMA25010103S,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",350703801327599,1Z1X298A0396676246,Submitted
Memphis,70832513,2246 Lamar Ave,Account,Default,1/1/2025 23:49,RMA25010103S,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",16441002040887,1Z1X298A0396676246,ReceivedInWarehouse
Memphis,70832513,2246 Lamar Ave,Account,Default,1/1/2025 23:49,RMA25010103S,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",354716038375617,1Z1X298A0396676246,Submitted
Memphis,70832513,2246 Lamar Ave,Account,Default,1/1/2025 23:49,RMA25010103S,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",358458160520993,1Z1X298A0396676246,ReceivedInWarehouse
Dallas,70846808,818 E. Abram St,Account,Default,1/2/2025 0:11,RMA25010103V,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",16441002280913,1Z1X298A0395584463,ReceivedInWarehouse
Dallas,70846808,818 E. Abram St,Account,Default,1/2/2025 0:11,RMA25010103V,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",863550076130848,1Z1X298A0395584463,ReceivedInWarehouse
Dallas,70846808,818 E. Abram St,Account,Default,1/2/2025 0:11,RMA25010103V,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",353283325235294,1Z1X298A0395584463,ReceivedInWarehouse
Dallas,70846808,818 E. Abram St,Account,Default,1/2/2025 0:11,RMA25010103V,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550076119841,1Z1X298A0395584463,ReceivedInWarehouse
Dallas,70846808,818 E. Abram St,Account,Default,1/2/2025 0:11,RMA25010103V,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550076121680,1Z1X298A0395584463,ReceivedInWarehouse
